0,pos_start,pos_stop,length,dies6_pool,disw2_pool
-2 NS,74,154,80,6.226985788663382e-35,6.910190140983003e-36
-1 L,179,199,20,0.3407139254270928,4.371243855427956e-06
-1NS,224,304,80,2.729508865506724e-15,1.459495050941603e-46
ARS315,494,574,80,1.357651522250732e-52,5.984720279397734e-112
+1ns,599,679,80,2.366325685395774e-15,2.800190756494001e-41
+1L,704,724,20,2.2865350195086136e-08,1.495106118569279e-13
+2ns,749,829,80,1.3291308064165357e-29,2.1089484909828518e-30
prom,924,1099,175,9.459304708626241e-06,4.338694092748801e-81
+3ns,1129,1209,80,0.883924409975196,1.1972643420192423e-53
